"id","product_name"
1,Winter Boots
2,Shoe Dryer
3,Scarves
4,Waterproof Shoes
5,Waterproof Pants
6,Wool Coats And Trench Coats
7,Thick Socks
8,Gloves
9,Fishing Equipment
10,Yoga Mats
11,Indoor Workout Equipment
12,Skiing Equipment
13,Ice Skating Equipment
14,Warm Slippers
15,Tea And Coffee
16,Electric Blanket
17,Underwear And Lingerie
18,Jewelry
19,Snowblowers
20,Fitness Trackers
21,Gift Boxes
22,Waterproof Car Covers
23,Quilting Fabric
24,Snowboards
25,Hooded Raincoat
26,Umbrellas
27,Touchscreen Gloves
28,Pet Jacket
29,Platters And Serving Ware
30,Disposables
31,Moisturizer Creams And Lotions For Dry Skin
32,Pajamas
33,Pocket scarf
34,Touchscreen gloves
35,Pajamas
36,Sweater
37,Oversized coat
38,Hooded sweatshirt
39,Natural skincare products
40,Knit Dress
41,Tactical Pants
42,Shoe Dryers
